county,region,latitude,longitude,avg_radiation,max_radiation,min_radiation,data_points
Nairobi,Nairobi,-1.2921,36.8219,21.408,28.88,10.25,365
Mombasa,Coast,-4.0435,39.6682,20.901,26.32,3.64,365
Kwale,Coast,-4.1816,39.4524,20.247,26.43,4.38,365
Kilifi,Coast,-3.5107,39.9093,21.333,26.43,2.24,365
Tana River,Coast,-1.0116,39.9093,21.014,26.76,2.45,365
Lamu,Coast,-2.2686,40.902,21.879,26.7,5.55,365
Taita Taveta,Coast,-3.3167,38.4833,20.882,27.78,6.68,365
Garissa,North Eastern,-0.4532,39.6461,21.388,26.83,6.36,365
Wajir,North Eastern,1.7471,40.0573,20.968,27.13,6.11,365
Mandera,North Eastern,3.9366,41.867,21.92,27.25,6.84,365
Marsabit,Eastern,2.3284,37.9899,21.945,27.69,6.2,365
Isiolo,Eastern,0.3556,37.5822,23.093,27.77,7.0,365
Meru,Eastern,0.0467,37.649,22.059,28.12,8.99,365
Tharaka Nithi,Eastern,-0.2967,37.8693,22.227,27.37,9.87,365
Embu,Eastern,-0.53,37.45,20.634,28.03,5.9,365
Kitui,Eastern,-1.3667,38.0167,21.225,27.47,7.2,365
Machakos,Eastern,-1.5177,37.2634,21.332,28.81,7.77,365
Makueni,Eastern,-1.8039,37.6237,21.355,28.03,6.18,365
Nyandarua,Central,-0.1833,36.5167,22.175,29.87,9.03,365
Nyeri,Central,-0.4167,36.95,21.648,28.79,10.03,365
Kirinyaga,Central,-0.559,37.279,20.59,28.19,6.19,365
Murang'a,Central,-0.7167,37.15,21.338,27.99,8.27,365
Kiambu,Central,-1.031,36.831,21.096,29.0,8.99,365
Turkana,Rift Valley,3.115,35.5966,23.205,26.79,11.99,365
West Pokot,Rift Valley,1.25,35.1167,21.634,28.68,7.97,365
Samburu,Rift Valley,1.0667,36.9833,22.749,28.03,7.8,365
Trans Nzoia,Rift Valley,1.0167,35.0,22.298,28.38,10.54,365
Uasin Gishu,Rift Valley,0.5167,35.2833,23.652,29.37,9.82,365
Elgeyo Marakwet,Rift Valley,0.8,35.5,23.67,28.97,9.02,365
Nandi,Rift Valley,0.1833,35.1167,21.752,29.02,10.17,365
Baringo,Rift Valley,0.4667,35.9667,23.381,27.71,10.53,365
Laikipia,Rift Valley,0.36,36.7833,23.056,28.69,8.0,365
Nakuru,Rift Valley,-0.3031,36.08,22.73,28.94,11.7,365
Narok,Rift Valley,-1.0833,35.8667,22.231,28.79,11.4,365
Kajiado,Rift Valley,-1.8517,36.7762,21.234,28.73,9.72,365
Kericho,Rift Valley,-0.3667,35.2833,21.746,29.11,11.97,365
Bomet,Rift Valley,-0.7833,35.35,22.304,28.71,10.6,365
Kakamega,Western,0.2833,34.75,22.091,28.35,8.81,365
Vihiga,Western,0.0833,34.7167,21.982,28.44,9.31,365
Bungoma,Western,0.5635,34.5606,21.954,28.18,10.24,365
Busia,Western,0.4606,34.1116,21.379,27.28,6.75,365
Siaya,Nyanza,-0.0617,34.2883,21.832,27.69,8.79,365
Kisumu,Nyanza,-0.0917,34.768,23.007,28.11,9.67,365
Homa Bay,Nyanza,-0.5167,34.45,22.208,27.82,9.1,365
Migori,Nyanza,-1.0634,34.4731,21.54,27.95,11.61,365
Kisii,Nyanza,-0.6817,34.7667,21.099,27.53,8.94,365
Nyamira,Nyanza,-0.5667,34.9333,21.83,28.5,11.57,365
